Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,BrewMethod
Pomp and Circumstance,American IPA,41.64,1.057,1.014,5.58,53.63,6.39,49.21,90,70,All Grain
Death In The Afternoon Pale Ale,American IPA,18.93,1.066,1.017,6.5,32.99,12.45,28.39,60,70,All Grain
Blood Orange IPA,American IPA,40.69,1.065,1.011,7.13,76.5,9.35,47.32,60,80,All Grain
New England IPA #3 C2C,American IPA,174.13,1.057,1.013,5.74,55.29,3.92,189.27,60,72,All Grain
WEST 6th IPA,American IPA,18.93,1.057,1.01,6.16,97.1,5.66,26.5,90,71,All Grain
Intrinsic Redshift,American IPA,20.82,1.063,1.012,6.69,64.1,8.66,28.39,60,75,All Grain
Lillo Pacific IPA,American IPA,22,1.066,1.012,6.98,70.02,12.13,24,60,75,All Grain
IPA #5,American IPA,20.82,1.064,1.009,7.19,92.1,10.91,28.39,90,67,All Grain
CgIPA,American IPA,20.82,1.068,1.017,6.72,70.63,14.33,11.36,60,35,extract
Dirty Daemon (A Zombie Dust Clone) - Extract...,American IPA,23,1.063,1.016,6.21,69.85,8.48,10,60,70,extract
New Zealand IPA,American IPA,20.82,1.056,1.011,5.94,65.75,5.1,28.39,60,70,All Grain
Left Over White IPA (split batch),American IPA,37.85,1.056,1.014,5.45,101.33,3.83,49.21,60,75,All Grain
Avg. Perfect Northeast IPA (NEIPA) 1 gallon ...,American IPA,3.79,1.068,1.018,6.54,56.94,5.2,4.73,60,70,extract
First ever brew  dry bitter ipa,American IPA,20.06,1.059,1.011,6.23,116.98,4.47,26.5,60,85,extract
Tied Knot IPA 2.0,American IPA,18.93,1.075,1.021,7.09,85.89,5.64,21.77,60,25,extract
Chestburster IPA,American IPA,20,1.07,1.015,7.24,110.96,6.1,28,60,71,All Grain
House pale,American IPA,18.93,1.067,1.017,6.61,122.42,9.13,24.61,90,70,All Grain
Falcons maze,American IPA,19.87,1.053,1.014,5.09,58.91,6.17,24.61,60,70,BIAB
Fruity bastard IPA,American IPA,22,1.07,1.016,7.08,63.28,11.38,28.5,60,77,All Grain
Falconer's Delight IPA,American IPA,9.46,1.061,1.015,6.03,0,6.5,12.91,60,65,All Grain
Mack Mikrobryggeri Get it On!,American IPA,25,1.058,1.01,6.37,68.78,8.59,28,60,70,BIAB
Citra IPA,American IPA,18.93,1.064,1.018,6.03,63.47,11.31,11.36,60,35,Partial Mash
Citra IPA,American IPA,46,1.07,1.017,6.94,42.75,9.26,51,60,84,BIAB
Ring around the hop,American IPA,22.71,1.052,1.01,5.5,66.94,7.93,27.44,60,69,All Grain
Strawberry Vanilla Milkshake IPA,American IPA,18.93,1.071,1.025,6.13,119.94,7.2,11.36,60,35,extract
Indianer øl,American IPA,22,1.046,1.01,4.75,47.53,8.52,26,60,57,All Grain
Twist & Shout,American IPA,20.82,1.062,1.012,6.56,74.76,12.9,28.39,60,71,BIAB
Summer IPA,American IPA,56.78,1.061,1.019,5.52,58.32,8.47,64.35,90,70,All Grain
Co(ne) Dependance,American IPA,20.82,1.067,1.016,6.74,149.02,7.32,15.14,60,90,Partial Mash
Random IPA,American IPA,5,1.072,1.02,6.81,72.13,6.98,7,60,75,All Grain
ABC India Red Ale,American IPA,25,1.066,1.011,7.24,45.43,18.31,28.5,90,85,All Grain
Sanatorium IPA,American IPA,23,1.067,1.016,6.72,59.67,8.15,28.3,90,75,BIAB
Simple hoppy IPA,American IPA,20.82,1.067,1.013,7.16,75.98,4.89,28.39,60,35,extract
Rice City IPA,American IPA,18.93,1.052,1.015,4.9,47.27,11.69,7.57,60,70,extract
Surly Furious Clone,American IPA,22.71,1.054,1.014,5.28,131.43,17.2,26.5,60,70,BIAB
Squeaker,American IPA,23,1.066,1.015,7.01,58.78,10.54,28.8,90,70,All Grain
